period,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel,year,month
1998-02-01,43.0,41.7,54.2,0.0,37.9,1998,2
1998-03-01,42.8,41.9,54.0,0.0,35.8,1998,3
1998-04-01,43.0,42.1,54.3,0.0,36.3,1998,4
1998-05-01,5.4,6.6,6.3,0.0,-0.1,1998,5
1998-06-01,42.8,42.6,53.6,0.0,34.9,1998,6
1998-07-01,43.5,42.3,54.7,0.0,38.0,1998,7
1998-08-01,43.8,42.9,54.8,0.0,39.2,1998,8
1998-09-01,3.8,4.0,3.1,0.0,7.9,1998,9
1998-10-01,1.5,4.2,-0.5,0.0,2.0,1998,10
1998-11-01,1.7,4.6,0.4,0.0,-4.0,1998,11
1998-12-01,0.2,2.5,0.0,0.0,-9.1,1998,12
1999-01-01,2.0,4.1,1.6,0.0,-5.7,1999,1
1999-02-01,1.5,4.0,0.5,0.0,-3.7,1999,2
1999-03-01,2.1,3.1,1.2,0.0,2.3,1999,3
1999-04-01,2.0,2.9,1.2,0.0,4.1,1999,4
1999-05-01,2.1,3.1,1.1,0.0,4.2,1999,5
1999-06-01,3.9,2.5,4.1,0.0,13.7,1999,6
1999-07-01,44.6,43.9,55.9,0.0,39.5,1999,7
1999-08-01,2.2,1.4,3.2,0.0,2.0,1999,8
1999-09-01,2.3,3.2,2.2,0.0,2.0,1999,9
1999-10-01,45.0,43.9,56.4,0.0,41.8,1999,10
1999-11-01,4.1,2.5,4.0,0.0,15.7,1999,11
1999-12-01,46.0,45.3,56.9,0.0,45.6,1999,12
2000-01-01,6.3,3.2,6.3,0.0,27.5,2000,1
2000-02-01,45.7,44.5,56.4,0.0,46.0,2000,2
2000-03-01,45.9,44.7,56.9,0.0,44.1,2000,3
2000-04-01,47.0,44.9,56.7,0.0,57.5,2000,4
2000-05-01,4.3,1.6,2.4,0.0,27.8,2000,5
2000-06-01,4.1,2.2,2.6,0.0,23.3,2000,6
2000-07-01,3.7,1.7,3.1,0.0,17.8,2000,7
2000-08-01,46.8,45.2,58.1,0.0,46.9,2000,8
2000-09-01,5.1,3.0,4.0,0.0,19.2,2000,9
2000-10-01,4.6,3.4,3.8,0.0,11.1,2000,10
2000-11-01,47.4,45.9,58.1,0.0,49.2,2000,11
2000-12-01,47.7,46.0,58.8,0.0,47.8,2000,12
2001-01-01,47.7,45.6,60.5,0.0,47.0,2001,1
2001-02-01,47.5,46.4,59.8,0.0,46.0,2001,2
2001-03-01,47.6,47.2,59.4,0.0,44.1,2001,3
2001-04-01,47.7,46.4,60.2,0.0,44.7,2001,4
2001-05-01,49.0,48.0,61.4,0.0,45.4,2001,5
2001-06-01,48.8,47.7,61.0,0.0,47.0,2001,6
2001-07-01,5.5,6.1,6.0,0.0,0.8,2001,7
2001-08-01,4.3,5.2,5.8,0.0,-1.1,2001,8
2001-09-01,49.3,47.8,62.3,0.0,44.8,2001,9
2001-10-01,49.2,48.2,61.8,0.0,45.3,2001,10
2001-11-01,4.5,6.3,7.0,0.0,-8.8,2001,11
2001-12-01,50.1,49.1,63.6,0.0,44.2,2001,12
2002-01-01,49.9,48.7,63.5,0.0,45.1,2002,1
2002-02-01,6.3,5.9,7.5,0.0,-0.9,2002,2
2002-03-01,6.3,3.4,9.2,0.0,6.2,2002,3
2002-04-01,7.8,6.2,10.3,0.0,4.1,2002,4
2002-05-01,50.9,49.5,64.8,0.0,46.0,2002,5
2002-06-01,49.9,49.0,63.3,0.0,42.7,2002,6
2002-07-01,4.5,6.2,6.0,0.0,-9.5,2002,7
2002-08-01,50.6,49.9,64.0,0.0,42.6,2002,8
2002-09-01,3.5,4.6,3.8,0.0,-0.5,2002,9
2002-10-01,51.3,50.2,65.1,0.0,45.2,2002,10
2002-11-01,51.5,50.1,66.1,0.0,44.7,2002,11
2002-12-01,50.6,50.1,64.1,0.0,43.8,2002,12
2003-01-01,51.1,50.3,64.3,0.0,49.0,2003,1
2003-02-01,2.1,2.6,1.4,0.0,9.9,2003,2
2003-03-01,2.6,4.6,1.1,0.0,7.8,2003,3
2003-04-01,0.1,2.9,-2.0,0.0,3.5,2003,4
2003-05-01,51.2,50.6,64.7,0.0,47.7,2003,5
2003-06-01,51.5,51.2,65.1,0.0,46.7,2003,6
2003-07-01,52.2,51.7,65.7,0.0,48.6,2003,7
2003-08-01,3.2,4.7,1.6,0.0,16.6,2003,8
2003-09-01,52.6,52.0,66.3,0.0,49.8,2003,9
2003-10-01,3.1,3.8,2.3,0.0,11.3,2003,10
2003-11-01,2.5,3.3,1.1,0.0,11.2,2003,11
2003-12-01,4.6,4.7,4.0,0.0,11.2,2003,12
2004-01-01,5.4,5.3,6.7,0.0,-1.8,2004,1
2004-02-01,53.5,52.6,68.0,0.0,48.7,2004,2
2004-03-01,3.1,3.1,3.5,0.0,-3.4,2004,3
2004-04-01,5.2,4.5,5.4,0.0,3.8,2004,4
2004-05-01,6.1,5.7,6.3,0.0,2.9,2004,5
2004-06-01,6.0,3.9,6.1,0.0,10.6,2004,6
2004-07-01,54.5,53.2,68.9,0.0,51.3,2004,7
2004-08-01,54.8,54.1,68.6,0.0,53.5,2004,8
2004-09-01,55.0,53.8,69.2,0.0,52.2,2004,9
2004-10-01,4.9,3.7,3.5,0.0,16.5,2004,10
2004-11-01,55.2,54.1,69.1,0.0,55.1,2004,11
2004-12-01,55.0,54.2,68.5,0.0,55.2,2004,12
2005-01-01,54.9,55.1,68.5,0.0,50.0,2005,1
2005-02-01,54.8,54.4,68.2,0.0,52.5,2005,2
2005-03-01,54.8,54.5,68.3,0.0,52.3,2005,3
2005-04-01,1.6,3.6,-1.0,0.0,6.1,2005,4
2005-05-01,0.6,2.6,-2.2,0.0,9.5,2005,5
2005-06-01,55.2,55.1,68.2,0.0,54.9,2005,6
2005-07-01,55.3,55.2,68.2,0.0,55.5,2005,7
2005-08-01,55.0,54.9,68.1,0.0,53.5,2005,8
2005-09-01,0.5,2.7,-1.5,0.0,5.8,2005,9
2005-10-01,-0.1,2.8,-0.7,0.0,-7.1,2005,10
2005-11-01,55.9,56.0,69.0,0.0,54.8,2005,11
2005-12-01,55.7,55.9,68.6,0.0,54.1,2005,12
2006-01-01,2.6,0.8,0.5,-3.8,25.5,2006,1
2006-02-01,56.2,56.0,68.2,17.6,61.8,2006,2
2006-03-01,3.4,3.6,0.1,3.6,20.3,2006,3
2006-04-01,2.8,1.3,1.6,-2.3,18.1,2006,4
2006-05-01,4.5,2.6,3.3,3.8,19.1,2006,5
2006-06-01,4.1,4.4,1.6,4.1,14.7,2006,6
2006-07-01,57.5,58.1,68.7,17.6,64.5,2006,7
2006-08-01,57.7,57.3,69.8,19.0,64.2,2006,8
2006-09-01,57.4,57.8,68.9,18.3,62.7,2006,9
2006-10-01,57.6,58.0,69.8,18.4,60.8,2006,10
2006-11-01,57.8,58.1,70.0,18.5,61.5,2006,11
2006-12-01,58.5,58.5,71.0,18.9,62.3,2006,12
2007-01-01,57.7,58.2,69.3,18.2,63.2,2007,1
2007-02-01,4.0,4.7,3.8,5.4,1.2,2007,2
2007-03-01,4.6,5.1,5.2,-1.1,2.9,2007,3
2007-04-01,5.9,7.2,4.4,5.6,8.2,2007,4
2007-05-01,3.7,5.2,2.8,3.5,2.2,2007,5
2007-06-01,59.6,58.9,72.3,19.3,66.3,2007,6
2007-07-01,2.9,0.8,4.1,11.2,2.3,2007,7
2007-08-01,59.5,59.6,71.6,19.0,66.4,2007,8
2007-09-01,59.9,60.0,72.0,18.9,67.4,2007,9
2007-10-01,59.9,60.2,71.2,19.2,69.1,2007,10
2007-11-01,60.7,60.7,71.2,20.1,73.5,2007,11
2007-12-01,60.6,61.0,70.9,19.8,73.2,2007,12
2008-01-01,6.0,5.7,3.2,11.6,16.7,2008,1
2008-02-01,62.4,62.1,73.9,20.8,74.6,2008,2
2008-03-01,61.3,61.3,71.8,20.3,75.2,2008,3
2008-04-01,61.2,61.5,71.5,20.0,75.2,2008,4
2008-05-01,63.5,63.7,75.0,20.2,76.2,2008,5
2008-06-01,61.9,62.6,71.8,20.1,76.8,2008,6
2008-07-01,5.8,8.5,0.4,1.1,21.6,2008,7
2008-08-01,5.0,6.9,1.2,4.7,14.1,2008,8
2008-09-01,4.3,6.6,-0.6,8.0,15.1,2008,9
2008-10-01,3.0,7.1,-1.3,6.2,4.9,2008,10
2008-11-01,61.4,64.4,70.5,21.5,67.5,2008,11
2008-12-01,60.8,64.1,70.4,21.5,62.8,2008,12
2009-01-01,61.4,65.0,70.5,21.0,65.5,2009,1
2009-02-01,60.7,65.7,68.7,19.4,64.3,2009,2
2009-03-01,61.1,65.9,69.4,20.6,63.1,2009,3
2009-04-01,0.4,7.5,-2.2,4.6,-15.3,2009,4
2009-05-01,-2.9,4.2,-7.0,3.2,-14.1,2009,5
2009-06-01,0.7,7.3,-2.3,3.3,-11.7,2009,6
2009-07-01,0.1,5.1,-1.0,11.8,-16.3,2009,7
2009-08-01,0.9,5.3,-2.0,13.2,-8.4,2009,8
